,task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
432,102149,4512,26162,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.129,Install Blind Flanges,6965,432,0,32,0,180,180,32,50,0,50,,,,2013-04-04 11:00,2013-04-08 08:00,,2013-02-17 09:00,2013-02-20 11:00,2013-02-17 09:00,2013-02-20 11:00,2013-02-17 09:00,2013-02-20 11:00,2013-04-04 11:00,2013-04-08 08:00,,PT_Normal,,,,,CW41eMV03kqp5Zfy3ScNEQ,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
433,102150,4512,26162,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.130,Tank Water Filling,6965,432,0,232,0,1820,1820,232,780,0,780,,,,2013-04-08 08:00,2013-05-02 15:00,,2013-02-20 11:00,2013-03-17 13:00,2013-02-20 11:00,2013-03-17 13:00,2013-02-20 11:00,2013-03-17 13:00,2013-04-08 08:00,2013-05-02 15:00,,PT_Normal,,,,,YEsfHLOWVkazLTAhVHlrGg,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
434,102151,4512,26162,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.131,Hold Water for 48 Hours,6965,432,0,40,0,120,120,40,40,0,40,,,,2013-05-02 15:00,2013-05-07 10:00,,2013-03-17 13:00,2013-03-21 13:00,2013-03-17 13:00,2013-03-21 13:00,2013-03-17 13:00,2013-03-21 13:00,2013-05-02 15:00,2013-05-07 10:00,,PT_Normal,,,,,H0UdMVXjc0ezD50cbQw+IA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
435,102152,4512,26162,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.132,Drain Water from Tank,6965,432,0,112,0,1560,1560,112,260,0,260,,,,2013-05-07 10:00,2013-05-19 12:00,,2013-03-21 13:00,2013-04-02 15:00,2013-03-21 13:00,2013-04-02 15:00,2013-03-21 13:00,2013-04-02 15:00,2013-05-07 10:00,2013-05-19 12:00,,PT_Normal,,,,,SV6UG59+XUexU4r52G7wPg,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
436,102153,4512,26162,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.133,Clean & Dry Out Tank,6942,432,0,24,0,280,280,24,40,0,40,,,,2013-05-19 12:00,2013-05-21 16:00,,2013-04-02 15:00,2013-04-05 11:30,2013-04-02 15:00,2013-04-05 11:30,2013-04-02 15:00,2013-04-05 11:30,2013-05-19 12:00,2013-05-21 16:00,,PT_Normal,,,,,Ga++CDqbqEmV5xpAKZ7Flw,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
437,102154,4512,26163,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.116,Erect & Tack Curve Angle,6942,432,0,40,0,260,260,40,100,0,100,,,,2013-02-11 08:00,2013-02-15 10:30,,2012-12-27 09:00,2012-12-31 14:00,2012-12-27 09:00,2012-12-31 14:00,2012-12-27 09:00,2012-12-31 14:00,2013-02-11 08:00,2013-02-15 10:30,,PT_Normal,,,,,JrW0cdMw6USy5D5/lydT2g,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
438,102155,4512,26163,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.117,Weld Curve Angle,6942,432,0,56,0,560,560,56,280,0,280,,,,2013-02-15 10:30,2013-02-21 09:00,,2012-12-31 14:00,2013-01-06 15:00,2012-12-31 14:00,2013-01-06 15:00,2012-12-31 14:00,2013-01-06 15:00,2013-02-15 10:30,2013-02-21 09:00,,PT_Normal,,,,,nzEyVK+fyEO4oG42+YDQWA,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
439,102156,4512,26164,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.139,Erect Scafolding Inside Tank,6942,432,0,56,0,1040,1040,56,120,0,120,,,,2013-05-21 16:00,2013-05-27 17:00,,2013-04-05 11:30,2013-04-11 10:00,2013-04-05 11:30,2013-04-11 10:00,2013-04-05 11:30,2013-04-11 10:00,2013-05-21 16:00,2013-05-27 17:00,,PT_Normal,,,,,uM8yyX/SMkSMbP6E3fAg2Q,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
440,102157,4512,26164,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.140,Internal Shell Blast & Prime,6949,432,0,32,0,480,480,32,60,0,60,,,,2013-05-24 12:30,2013-05-27 17:00,,2013-04-08 08:00,2013-04-11 10:00,2013-04-08 08:00,2013-04-11 10:00,2013-04-08 08:00,2013-04-11 10:00,2013-05-24 12:30,2013-05-27 17:00,,PT_Normal,,,,,+6Fyuzg6D0OWb5+HpoBIFQ,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
441,102158,4512,26164,6590,0,N,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,JF721.141,Internal Shell Secondary & Final Coat,6950,432,0,32,0,510,510,32,60,0,60,,,,2013-05-28 07:00,2013-05-31 11:30,,2013-04-11 10:00,2013-04-14 17:00,2013-04-11 10:00,2013-04-14 17:00,2013-04-11 10:00,2013-04-14 17:00,2013-05-28 07:00,2013-05-31 11:30,,PT_Normal,,,,,BaO0miGh4EWCm1BGdUh1cg,,,,N,0,0,,,2013-11-05 11:09,2013-11-05 11:09,admin,admin,
