,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,curr_id,unit_id,rsrc_type,location_id,rsrc_notes,load_tasks_flag,level_flag,last_checksum
94,6994,6930,6591,,,,,HmQM9/XEnEmk/98YWlaKPQ,21600,,,,,Cathodic protection System subcontractor,P4.1.2.5.41,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
95,6995,6930,6591,,,,,s/ARLZn35k2MuqEGjeIrnQ,21600,,,,,Civil & Foundation,P4.1.2.5.42,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
96,6996,6930,6591,,,,,ch61PDvtJUG5cR/VVziR+w,21600,,,,,Aluminum Doom Roof subcontractor,P4.1.2.5.43,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
97,6997,6930,6591,,,,,lEbHW6rbf0yjH6CRV54eUQ,21600,,,,,Instrumentation subcontractor,P4.1.2.5.44,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
98,6998,6930,6591,,,,,V1Cf6PSSA0yHMHX/AZyy4A,21600,,,,,Plates Supplier,P4.1.2.5.45,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
99,6999,6930,6591,,,,,4wU3AyJHxECALC/1KJVlrQ,21600,,,,,"Profile material including(beams,Angels,Round bars,Flatbars,Checkers Plates)",P4.1.2.5.46,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
100,7000,6930,6591,,,,,1ZysYAv4v0u8EG1NUBEv3Q,21600,,,,,"Pipes & fittings(including(Flanges,elbows,pad plates,pipes,nuts,bolts) supplier including Spar",P4.1.2.5.47,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
101,7001,6930,6591,,,,,9qXOLZUu10aHFW78ivOUwQ,21600,,,,,Paint supplier,P4.1.2.5.48,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
102,7002,6930,6591,,,,,qehj4WO0kUqs7/y7YHmQhw,21600,,,,,Raw Material Delievery to Alzamil Factory,P4.1.2.5.49,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
103,7003,6930,6591,,,,,WWB0yZ3eQkqM2jz4nDiKjg,21600,,,,,"Annular,buttom&sump plate Fabrication (AZ Pre-fabricated wroks)",P4.1.2.5.50,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
104,7004,6930,6591,,,,,Vrx9gAcrgkyHAukozfGNIg,21600,,,,,"Shell courses(AZ Pre-fabricated works) (#1,#2,#3,#4)",P4.1.2.5.51,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
105,7005,6930,6591,,,,,KhlZjjK8oUm7H/AKbGjGhA,21600,,,,,Shell Nozzles &manholes (AZ Pre-fabricated works),P4.1.2.5.52,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
106,7006,6930,6591,,,,,T38BtOrHZUezoTlBN2E4Zg,21600,,,,,"Platforms,Stairs & handrails (AZ Pre-fabricated works)",P4.1.2.5.53,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
107,7007,6930,6591,,,,,lExnCz/A3E6fPW9EXPJFkA,21600,,,,,Delievery of the Pre-Fabricated Material to  Ma'aden Site,P4.1.2.5.54,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
108,7008,6931,6591,,,,,gQOctoT7kEmFcyFNBt/nMg,21600,,,,,"Mobilization(including Accomodation,fabrication yard, AZ equipment)",P4.1.2.6.55,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
109,7009,6931,6591,,,,,gPKbY7I9t0OXpgHC4Io2Pg,21600,,,,,Civil works,P4.1.2.6.56,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
110,7010,6931,6591,,,,,mWwGoeMvj0CwMRk2vSL1+Q,21600,,,,,Foundation works,P4.1.2.6.57,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
111,7011,6931,6591,,,,,ftqSF+wHBUeT0axABIzhGw,21600,,,,,Annular & bottom Plates (Site Installation works),P4.1.2.6.58,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
112,7012,6931,6591,,,,,gpdmeBeXF0O0kHedsz8VwQ,21600,,,,,Shell Course #1(site Installation  works),P4.1.2.6.59,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
113,7013,6931,6591,,,,,ZeZE7JkLDkqXu9xXGpxVrw,21600,,,,,Shell Course #2 (site Installation  works& testing),P4.1.2.6.60,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
114,7014,6931,6591,,,,,MxnibjAwSEmKMQWagq5FBQ,21600,,,,,Shell Course #3 (site Installation  works& testing),P4.1.2.6.61,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
115,7015,6931,6591,,,,,Waim9vDa6E+G9/Y+zPdr3w,21600,,,,,Shell Course #4 (site Installation  works & testing),P4.1.2.6.62,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
116,7016,6931,6591,,,,,uRFy6A+7qk6OhMjBTGAgrQ,21600,,,,,Curve Angel (site Installation  works),P4.1.2.6.63,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
117,7017,6931,6591,,,,,dc8pbEjqDk2Y02qtfI1oYQ,21600,,,,,Shell manholes & nozzles(site Installation works & testing),P4.1.2.6.64,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
118,7018,6931,6591,,,,,hL3hIT9WaU2CbY7PGSoFOw,21600,,,,,Aluminum Doom Roof (Site Installation  works),P4.1.2.6.65,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
119,7019,6931,6591,,,,,0P+P1ii0zU6Jyby6ppIZSQ,21600,,,,,Platforms & handrails (site Installation works),P4.1.2.6.66,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
120,7020,6931,6591,,,,,80Mgo3Nz70qPkLFEAU/a4Q,21600,,,,,Hydrotesting,P4.1.2.6.67,,0.125,QT_Hour,0,Y,Y,Y,N,1,,RT_Mat,,,,,
