,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
39,3010307,12456366,14517,Y,373,,1348,,,9381.82,,9381.82,48.8636458333333,,0,48.86364583,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-07-17 08:00,2007-08-13 17:00,2007-07-17 08:00,2007-08-13 17:00,2007-11-06 08:01,2007-12-04 08:01,Y,E3zImKTOT5uQP1eQSm7teg,COST_PER_QTY,0.00,0,22,RT_Labor,ST_Rsrc,2007-07-17 08:00,2007-08-13 17:00,192,,
40,3010308,12456368,14517,Y,373,,1348,,,28591.79,,28591.79,35.0389583333333,,0,35.03895833,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-06-12 08:00,2007-10-30 17:00,2007-06-12 08:00,2007-10-30 17:00,2007-12-09 08:01,2008-04-12 08:01,Y,wRB8jOEcQNWapVWdCUSodg,COST_PER_QTY,0.00,0,23,RT_Labor,ST_Rsrc,2007-06-12 08:00,2007-10-30 17:00,816,,
41,3010309,12456373,14517,Y,373,,1340,,,29752.44,,29765.46,13.7234501845018,,0,9.3250188,0,,13.02,0,,,0.00,0.00,0.00,0.00,2006-11-23 00:00,,2007-06-04 08:00,2008-05-12 17:00,2007-01-06 08:00,2008-05-12 17:00,2007-06-18 08:01,2008-05-27 08:01,Y,i8qT5zZxSGe2cfwrzJyLjA,COST_PER_QTY,0.00,0,29,RT_Labor,ST_Rsrc,2007-06-04 08:00,2008-05-12 17:00,2168,,
42,3010310,12456377,14517,Y,373,,1340,,,18872.98,,18872.98,25.3674768700016,,0,25.36747687,0,,0,0,,,0.00,0.00,0.00,0.00,,,2008-02-23 08:01,2008-06-09 17:00,2008-02-23 08:01,2008-06-09 17:00,2008-02-09 08:02,2008-05-27 08:01,Y,X/AQ2areSli3TRo+vIijqw,COST_PER_QTY,0.00,0,33,RT_Labor,ST_Rsrc,2008-02-23 08:01,2008-06-09 17:00,743.983,,
43,3010311,12456384,14517,Y,373,,1352,,,900,,0,4.6875,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-10-21 08:01,2007-11-18 08:01,2007-10-21 08:01,2007-11-12 08:02,2008-04-01 08:01,2008-04-29 08:01,Y,s1h1OYhkRJyptoBopQUtpQ,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-10-21 08:01,2007-11-18 08:01,192,,
44,3010312,12456385,14517,Y,373,,1352,,,1286.54,,1286.54,6.70072916666667,,0,8.46313241,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-10-21 08:01,2007-11-18 08:01,2007-10-21 08:01,2007-11-12 08:02,2008-04-01 08:01,2008-04-29 08:01,Y,dAanebTaQbuNflCJonLnOA,COST_PER_QTY,0.00,0,34,RT_Labor,ST_Rsrc,2007-10-21 08:01,2007-11-18 08:01,192,,
45,3010313,12456389,14517,Y,373,,1355,,,1144703.67,,1144703.67,923.148120967742,,0,986.81350862,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-03-03 08:00,2007-08-29 17:00,2007-03-03 08:00,2007-08-18 17:00,2007-08-27 08:01,2008-03-23 08:01,Y,QjRENsbTTtCQ4+Z4lw6Ldg,COST_PER_QTY,0.00,0,24,RT_Labor,ST_Rsrc,2007-03-03 08:00,2007-08-29 17:00,1240,,
46,3010314,12456397,14517,Y,373,,1343,,,45821.37,,45821.37,40.3363048166786,,0,40.33630482,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-11-18 08:01,2008-05-06 17:00,2007-11-18 08:01,2008-05-06 17:00,2007-11-27 08:02,2008-05-17 08:01,Y,HWfhobP/TvuEOGsE28oB1A,COST_PER_QTY,0.00,0,27,RT_Labor,ST_Rsrc,2007-11-18 08:01,2008-05-06 17:00,1135.983,,
47,3010315,12456403,14517,Y,373,,1341,,,4678.41,,4678.41,4.43038242396502,,0,4.43038242,0,,0,0,,,0.00,0.00,0.00,0.00,,,2007-11-18 08:01,2008-04-24 17:00,2007-11-18 08:01,2008-04-24 17:00,2007-12-16 08:02,2008-05-24 08:01,Y,A61Q3CigTBCR84OwXGtzMQ,COST_PER_QTY,0.00,0,28,RT_Labor,ST_Rsrc,2007-11-18 08:01,2008-04-24 17:00,1055.983,,
48,3010316,12456408,14517,Y,373,,1351,,,11627,,0,24.22291667,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,,,2008-03-27 08:00,2008-06-04 17:00,2008-03-27 08:00,2008-06-04 17:00,2008-02-02 08:01,2008-04-12 08:01,Y,vgPQ5aeoSp6FzlRNQC2Y6g,COST_PER_QTY,0.00,0,20,RT_Labor,ST_Rsrc,2008-03-27 08:00,2008-06-04 17:00,480,,
49,3010317,12456409,14517,Y,373,,1351,,,14803,,0,30.83958333,,0,0,0,,0,0,,,0.00,0.00,0.00,0.00,,,2008-03-27 08:00,2008-06-04 17:00,2008-03-27 08:00,2008-06-04 17:00,2008-02-02 08:01,2008-04-12 08:01,Y,kzuSvG2+Rrmzc67aaNwduA,COST_PER_QTY,0.00,0,20,RT_Labor,ST_Rsrc,2008-03-27 08:00,2008-06-04 17:00,480,,
50,3010318,12456410,14517,Y,373,,1351,,,30417,,30417,63.36875,,0,63.36875,0,,0,0,,,0.00,0.00,0.00,0.00,,,2008-03-27 08:00,2008-06-04 17:00,2008-03-27 08:00,2008-06-04 17:00,2008-02-02 08:01,2008-04-12 08:01,Y,J0LMp4JyQKy5iode5p7Pog,COST_PER_QTY,0.00,0,33,RT_Labor,ST_Rsrc,2008-03-27 08:00,2008-06-04 17:00,480,,
